Compound name;SMILES;Total Molweight;cLogP;H-Acceptors;H-Donors;sp3-Carbon Fraction;Metabolic pathway;Bioactivity;Species;Reference
Halogenated bisabolene sesquiterpene;CC(C)=C[C@@H](O)CC(=C)[C@@]1(O)CC[C@](C)(Br)[C@@H](Cl)C1;351.711;4.782;2;2;0.73333;Polyketides;Not known;Laurencia scoparia (red seaweed);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224570
(+)-isopyrodysinoic acid;CC1=C[C@@H]2C[C@H]3C(=CC(=O)N3CC(=O)O)C([C@@H]2CC1)(C)C;289.374;17.945;4;1;0.64706;Alkaloids/ Amino acids and peptides;Not known;Dysidea robusta (sponge);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224571
(+)-13-hydroxyisopyrodysinoic acid;CC1=C[C@@H]2C[C@]3(C(=CC(=O)N3CC(=O)O)C([C@@H]2CC1)(C)C)O;305.373;13.836;5;2;0.64706;Terpenoids;Not known;Dysidea robusta (sponge);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224572
(+)-pyrodisinoic acid;[H][C@@]12N(CC(O)=O)C(=O)C=C1C[C@@]1([H])C=C(C)CC[C@@]1([H])C2(C)C;289.374;17.945;4;1;0.64706;Terpenoids;Not known;Dysidea robusta (sponge);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224573
(+)-pyrodysinoic acid B;[H][C@@]12N(CC(O)=O)C(=O)C=C1C[C@@]1([H])C=C(C)CC[C@]1([H])C2(C)C;289.374;17.945;4;1;0.64706;?;Not known;Dysidea robusta (sponge);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224574
(+)-(2R,4S,5R,8S)-4-deacetyl-5-hydroxy-botryenalol;C[C@@H]1C[C@@H]([C@@]2(C(=C1C=O)[C@@](CC2(C)C)(C)CO)O)O;268.352;0.7048;4;3;0.8;Alkaloids;Not known;Asparagopsis taxiformis (red seaweed);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224575
(+)-(2R,4R,5R,8S)-4-deacetyl-5-hydroxy-botryenalol;C[C@@H]1C[C@H]([C@@]2(C(=C1C=O)[C@@](CC2(C)C)(C)CO)O)O;268.352;0.7048;4;3;0.8;Polyketides;Not known;Asparagopsis taxiformis (red seaweed);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224576
(+)-(2R,4S,5R,8R)-4-deacetyl-botryenalol;C[C@@H]1C[C@@H]([C@H]2C(=C1C=O)[C@](CC2(C)C)(C)CO)O;252.353;15.282;3;2;0.8;Polyketides;Not known;Asparagopsis taxiformis (red seaweed);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224577
(+)-(2R,4R,8R)-nemenonediol A;C[C@@H]1C[C@@H](O)C2=C(C1=O)[C@](C)(CO)CC2(C)C;238.326;16.895;3;2;0.78571;Polyketides;Not known;Asparagopsis taxiformis (red seaweed);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224578
(+)-(2R,4S,8S)-nemenonediol B;C[C@@H]1C[C@H](O)C2=C(C1=O)[C@@](C)(CO)CC2(C)C;238.326;16.895;3;2;0.78571;Polyketides;Not known;Asparagopsis taxiformis (red seaweed);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224579
Dolastane diterpene;CC(C)[C@]1(O)CC[C@]2(C)C[C@]3(O)C(=C)CC[C@@H](O)[C@@]3(C)CC=C12;320.471;31.555;3;3;0.8;Polyketides;Not known;Dictyota ceroicornishave (brown algae);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224580
Dolastane diterpene;CC(C)[C@]1(O)CC[C@]2(C)C[C@]3(O)C(=C)CC[C@@H](O)[C@@]3(C)CCC12O;338.486;24.366;4;4;0.9;Alkaloids;Not known;Dictyota ceroicornishave (brown algae);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224581
Dolastane;CC(C)[C@@]1(O)CC[C@]2(C)C[C@]3(O)C(=C)CC[C@@H](O)[C@@]3(C)CC=C12;320.471;31.555;3;3;0.8;Terpenoids;Not known;Padina sanctae-crucis (brown macroalga);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224582
Dolastane;CC(C)[C@@]1(O)CC[C@]2(C)C[C@]3(O)C(=C)CC[C@@H](OC(C)=O)[C@@]3(C)CC=C12;362.508;36.401;4;2;0.77273;Alkaloids;Not known;Canistrocarpus cervicornis (brown algae);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224583
Dolastane;CC(C)C1=C2[C@@H](C[C@]3(C)[C@@H](CCC(=C)[C@@]3(O)C[C@@]2(C)CC1)OC(C)=O)OC(C)=O;404.545;42.669;5;1;0.75;Alkaloids;Not known;Canistrocarpus cervicornis (brown algae);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224584
Dolastane;CC(C)[C@]12O[C@@]11C(=O)C[C@@]3(C)CCCC(=C)[C@]3(O)C[C@]1(C)C[C@H]2OC(C)=O;376.491;27.672;5;1;0.81818;Alkaloids;Not known;Canistrocarpus cervicornis (brown algae);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224585
Dolastane diterpene;CC(C)C1=C2[C@@H](C[C@]3(C)[C@@H](CCC(=C)[C@@]3(O)C[C@@]2(C)CC1=O)OC(C)=O)OC(C)=O;418.528;35.585;6;1;0.70833;Alkaloids;Not known;Canistrocarpus cervicornis (brown algae);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224586
Dolastane diterpene;CC(C)C1=C2[C@@H](C[C@]3(C)[C@@H](CCC(=C)[C@@]3(O)C[C@@]2(C)CC1)OC(C)=O)OC(C)=O;404.545;42.669;5;1;0.75;Fatty acids;Not known;Canistrocarpus cervicornis (brown algae);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224587
Dolastane diterpene;[H]C1C[C@]2(C)[C@H](O)CCC(=C)[C@@]2(O)C[C@@]2(C)CCC(C(C)C)=C12;304.472;41.498;2;2;0.8;Polyketides;Not known;Canistrocarpus cervicornis (brown algae);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224588
Dolabellane diterpene;[H][C@]12[C@@H](CC[C@]1(C)\C=C\[C@H](C)C\C=C\[C@@](C)(O)C[C@@H]2OC(C)=O)C(C)(C)OC(C)=O;406.561;47.951;5;1;0.75;Alkaloids;Not known;Dictyota pfaffii (brown algae);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224589
Raspacionin;CC(=O)O[C@H]1CC[C@@]2([C@H](CC[C@@]([C@H]2CC[C@@H]3C(=C)CC[C@H]4[C@]3(CC[C@@H](C(O4)(C)C)O)C)(C)OC(=O)C)OC1(C)C)C;576.812;57.622;7;1;0.88235;Polyketides;Anti-HSV-1 activity in vitro;Raspaciona aculeate (sponge);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224590
(−)-riisein A;C[C@H](CCCC(C)COC(=O)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@H]([C@@]4([C@@]3(CC[C@@H](C4)O[C@H]5[C@H]([C@@H]([C@@H](CO5)O)OC(=O)C)O)C)O)O)C;652.862;44.189;10;4;0.94444;Polyketides;Not known;Carijoa (Telesto) riisei (coral);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224591
(−)-riisein B;C[C@H](CCCC(C)COC(=O)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@H]([C@@]4([C@@]3(CC[C@@H](C4)O[C@H]5[C@H]([C@@H]([C@@H](CO5)OC(=O)C)O)O)C)O)O)C;652.862;44.189;10;4;0.94444;Polyketides;Not known;Carijoa (Telesto) riisei (coral);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224592
(+)-fistularin-3;COC1=C([C@@H]([C@]2(CC(=NO2)C(=O)NCC(COC3=C(C=C(C=C3Br)C(CNC(=O)C4=NO[C@@]5(C4)C=C(C(=C([C@@H]5O)Br)OC)Br)O)Br)O)C=C1Br)O)Br;1114.02;35.173;15;6;0.41935;Polyketides;Not known;Bacterium Pseudovibrio denitrificans Ab134, isolated from the marine sponge Arenosclera brasiliensis ;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224593
(+)-caissarine C;COC1=C(Br)[C@H](O)[C@]2(CC(=NO2)C(=O)NCCC[C@@H](O)CNC(=O)C2=NO[C@@]3(C2)C=C(Br)C(OC)=C(Br)[C@@H]3O)C=C1Br;848.132;22.676;13;5;0.52;Polyketides;"DNA demethylating agent inducing cell cycle arrest and sensitization to TRAIL in cancer cells, anti-tumorigenic activityon breast cancer cell line MCF-7, moderate antibiotic activity against several pathogenic bacteria.
";Aplysina ;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224594
